Modelo,Almacenamiento,Apple Trade In,Precio,Tipo,Pantalla,Año,Procesador
"iPad Pro de 12,9 pulgadas (5.ª generación) Wi-Fi",1 TB,440 €,445 €,iPad,,,
"iPad Pro de 12,9 pulgadas (5.ª generación) Wi-Fi",2 TB,465 €,470 €,iPad,,,
"iPad Pro de 12,9 pulgadas (5.ª generación) Cellular",128 GB,370 €,375 €,iPad,,,
"iPad Pro de 12,9 pulgadas (5.ª generación) Cellular",256 GB,400 €,405 €,iPad,,,
"iPad Pro de 12,9 pulgadas (5.ª generación) Cellular",512 GB,430 €,435 €,iPad,,,
"iPad Pro de 12,9 pulgadas (5.ª generación) Cellular",1 TB,460 €,465 €,iPad,,,
"iPad Pro de 12,9 pulgadas (5.ª generación) Cellular",2 TB,485 €,490 €,iPad,,,
"iPad Pro de 12,9 pulgadas (6.ª generación) Wi-Fi",128 GB,440 €,445 €,iPad,,,
"iPad Pro de 12,9 pulgadas (6.ª generación) Wi-Fi",256 GB,455 €,460 €,iPad,,,
"iPad Pro de 12,9 pulgadas (6.ª generación) Wi-Fi",512 GB,475 €,480 €,iPad,,,
"iPad Pro de 12,9 pulgadas (6.ª generación) Wi-Fi",1 TB,515 €,520 €,iPad,,,
"iPad Pro de 12,9 pulgadas (6.ª generación) Wi-Fi",2 TB,615 €,620 €,iPad,,,
"iPad Pro de 12,9 pulgadas (6.ª generación) Cellular",128 GB,445 €,450 €,iPad,,,
"iPad Pro de 12,9 pulgadas (6.ª generación) Cellular",256 GB,465 €,470 €,iPad,,,
"iPad Pro de 12,9 pulgadas (6.ª generación) Cellular",512 GB,485 €,490 €,iPad,,,
"iPad Pro de 12,9 pulgadas (6.ª generación) Cellular",1 TB,535 €,540 €,iPad,,,
"iPad Pro de 12,9 pulgadas (6.ª generación) Cellular",2 TB,635 €,640 €,iPad,,,
"iPad Pro (9,7 pulgadas) Wi-Fi",32 GB,20 €,25 €,iPad,,,
"iPad Pro (9,7 pulgadas) Wi-Fi",128 GB,35 €,40 €,iPad,,,
"iPad Pro (9,7 pulgadas) Wi-Fi",256 GB,45 €,50 €,iPad,,,
"iPad Pro (9,7 pulgadas) Cellular",32 GB,25 €,30 €,iPad,,,
"iPad Pro (9,7 pulgadas) Cellular",128 GB,45 €,50 €,iPad,,,
"iPad Pro (9,7 pulgadas) Cellular",256 GB,55 €,60 €,iPad,,,
"iPad Pro (10,5 pulgadas) Wi-Fi",64 GB,80 €,85 €,iPad,,,
"iPad Pro (10,5 pulgadas) Wi-Fi",256 GB,95 €,100 €,iPad,,,
"iPad Pro (10,5 pulgadas) Wi-Fi",512 GB,105 €,110 €,iPad,,,
"iPad Pro (10,5 pulgadas) Cellular",64 GB,85 €,90 €,iPad,,,
"iPad Pro (10,5 pulgadas) Cellular",256 GB,100 €,105 €,iPad,,,
"iPad Pro (10,5 pulgadas) Cellular",512 GB,110 €,115 €,iPad,,,
iPad Pro de 11 pulgadas Wi-Fi,64 GB,150 €,155 €,iPad,,,
iPad Pro de 11 pulgadas Wi-Fi,256 GB,170 €,175 €,iPad,,,
iPad Pro de 11 pulgadas Wi-Fi,512 GB,190 €,195 €,iPad,,,
iPad Pro de 11 pulgadas Wi-Fi,1 TB,210 €,215 €,iPad,,,
iPad Pro de 11 pulgadas Cellular,64 GB,160 €,165 €,iPad,,,
iPad Pro de 11 pulgadas Cellular,256 GB,175 €,180 €,iPad,,,
iPad Pro de 11 pulgadas Cellular,512 GB,200 €,205 €,iPad,,,
iPad Pro de 11 pulgadas Cellular,1 TB,220 €,225 €,iPad,,,
iPad Pro de 11 pulgadas (2.ª generación) Wi-Fi,128 GB,200 €,205 €,iPad,,,
iPad Pro de 11 pulgadas (2.ª generación) Wi-Fi,256 GB,215 €,220 €,iPad,,,
iPad Pro de 11 pulgadas (2.ª generación) Wi-Fi,512 GB,235 €,240 €,iPad,,,
iPad Pro de 11 pulgadas (2.ª generación) Wi-Fi,1 TB,275 €,280 €,iPad,,,
iPad Pro de 11 pulgadas (2.ª generación) Cellular,128 GB,215 €,220 €,iPad,,,
iPad Pro de 11 pulgadas (2.ª generación) Cellular,256 GB,220 €,225 €,iPad,,,
iPad Pro de 11 pulgadas (2.ª generación) Cellular,512 GB,245 €,250 €,iPad,,,
iPad Pro de 11 pulgadas (2.ª generación) Cellular,1 TB,280 €,285 €,iPad,,,
iPad Pro de 11 pulgadas (3.ª generación) Wi-Fi,128 GB,250 €,255 €,iPad,,,
iPad Pro de 11 pulgadas (3.ª generación) Wi-Fi,256 GB,275 €,280 €,iPad,,,
iPad Pro de 11 pulgadas (3.ª generación) Wi-Fi,512 GB,300 €,305 €,iPad,,,
iPad Pro de 11 pulgadas (3.ª generación) Wi-Fi,1 TB,305 €,310 €,iPad,,,
iPad Pro de 11 pulgadas (3.ª generación) Wi-Fi,2 TB,315 €,320 €,iPad,,,
iPad Pro de 11 pulgadas (3.ª generación) Cellular,128 GB,270 €,275 €,iPad,,,
iPad Pro de 11 pulgadas (3.ª generación) Cellular,256 GB,295 €,300 €,iPad,,,
iPad Pro de 11 pulgadas (3.ª generación) Cellular,512 GB,305 €,310 €,iPad,,,
iPad Pro de 11 pulgadas (3.ª generación) Cellular,1 TB,310 €,315 €,iPad,,,
iPad Pro de 11 pulgadas (3.ª generación) Cellular,2 TB,335 €,340 €,iPad,,,
iPad Pro de 11 pulgadas (4.ª generación) Wi-Fi,128 GB,325 €,330 €,iPad,,,
iPad Pro de 11 pulgadas (4.ª generación) Wi-Fi,256 GB,365 €,370 €,iPad,,,
iPad Pro de 11 pulgadas (4.ª generación) Wi-Fi,512 GB,385 €,390 €,iPad,,,
iPad Pro de 11 pulgadas (4.ª generación) Wi-Fi,1 TB,420 €,425 €,iPad,,,
iPad Pro de 11 pulgadas (4.ª generación) Wi-Fi,2 TB,465 €,470 €,iPad,,,
iPad Pro de 11 pulgadas (4.ª generación) Cellular,128 GB,350 €,355 €,iPad,,,
iPad Pro de 11 pulgadas (4.ª generación) Cellular,256 GB,375 €,380 €,iPad,,,
iPad Pro de 11 pulgadas (4.ª generación) Cellular,512 GB,395 €,400 €,iPad,,,
iPad Pro de 11 pulgadas (4.ª generación) Cellular,1 TB,440 €,445 €,iPad,,,
iPad Pro de 11 pulgadas (4.ª generación) Cellular,2 TB,485 €,490 €,iPad,,,
iPad mini (5.ª generación) Wi-Fi,64 GB,115€,120 €,iPad,,,
iPad mini (5.ª generación) Wi-Fi,256 GB,125€,130 €,iPad,,,
iPad mini (5.ª generación) Cellular,64 GB,120€,125 €,iPad,,,
iPad mini (5.ª generación) Cellular,256 GB,140€,145 €,iPad,,,
iPad mini (6.ª generación) Wi-Fi,64 GB,145€,150 €,iPad,,,
iPad mini (6.ª generación) Wi-Fi,256 GB,175€,180 €,iPad,,,
iPad mini (6.ª generación) Cellular,64 GB,155€,160 €,iPad,,,
iPad mini (6.ª generación) Cellular,256 GB,190€,195 €,iPad,,,
"iMac (Retina 4K, 21.5 pulgadas, 2019) A2116 Core i3 3.6",1 TB HDD,145 €,150 €,iMac,21.5 pulgadas,2019,Core i3 3.6
"iMac (Retina 4K, 21.5 pulgadas, 2019) A2116 Core i3 3.6",1 TB Fusion Drive,145 €,150 €,iMac,21.5 pulgadas,2019,Core i3 3.6
"iMac (Retina 4K, 21.5 pulgadas, 2019) A2116 Core i3 3.6",256 GB SSD,145 €,150 €,iMac,21.5 pulgadas,2019,Core i3 3.6
"iMac (Retina 4K, 21.5 pulgadas, 2019) A2116 Core i3 3.6",512 GB SSD,145 €,150 €,iMac,21.5 pulgadas,2019,Core i3 3.6
"iMac (Retina 4K, 21.5 pulgadas, 2019) A2116 Core i3 3.6",1 TB SSD,145 €,150 €,iMac,21.5 pulgadas,2019,Core i3 3.6
"iMac (Retina 4K, 21.5 pulgadas, 2019) A2116 Core i5 3.0",1 TB Fusion Drive,145 €,150 €,iMac,21.5 pulgadas,2019,Core i5 3.0
"iMac (Retina 4K, 21.5 pulgadas, 2019) A2116 Core i5 3.0",256 GB SSD,145 €,150 €,iMac,21.5 pulgadas,2019,Core i5 3.0
"iMac (Retina 4K, 21.5 pulgadas, 2019) A2116 Core i5 3.0",512 GB SSD,145 €,150 €,iMac,21.5 pulgadas,2019,Core i5 3.0
"iMac (Retina 4K, 21.5 pulgadas, 2019) A2116 Core i5 3.0",1 TB SSD,145 €,150 €,iMac,21.5 pulgadas,2019,Core i5 3.0
"iMac (Retina 4K, 21.5 pulgadas, 2019) A2116 Core i7 3.2",1 TB HDD,190 €,195 €,iMac,21.5 pulgadas,2019,Core i7 3.2
"iMac (Retina 4K, 21.5 pulgadas, 2019) A2116 Core i7 3.2",1 TB Fusion Drive,220 €,225 €,iMac,21.5 pulgadas,2019,Core i7 3.2
"iMac (Retina 4K, 21.5 pulgadas, 2019) A2116 Core i7 3.2",256 GB SSD,190 €,195 €,iMac,21.5 pulgadas,2019,Core i7 3.2
"iMac (Retina 4K, 21.5 pulgadas, 2019) A2116 Core i7 3.2",512 GB SSD,220 €,225 €,iMac,21.5 pulgadas,2019,Core i7 3.2
"iMac (Retina 4K, 21.5 pulgadas, 2019) A2116 Core i7 3.2",1 TB SSD,220 €,225 €,iMac,21.5 pulgadas,2019,Core i7 3.2
"iMac (24 pulgadas, M1, 2021) A2439 M1 8 Core CPU 7 Core GPU",256 GB SSD,275 €,280 €,iMac,24 pulgadas,2021,M1 8 Core CPU 7 Core GPU
"iMac (24 pulgadas, M1, 2021) A2439 M1 8 Core CPU 7 Core GPU",512 GB SSD,300 €,305 €,iMac,24 pulgadas,2021,M1 8 Core CPU 7 Core GPU
"iMac (24 pulgadas, M1, 2021) A2439 M1 8 Core CPU 7 Core GPU",1 TB SSD,320 €,325 €,iMac,24 pulgadas,2021,M1 8 Core CPU 7 Core GPU
"iMac (24 pulgadas, M1, 2021) A2438 M1 8 Core CPU 8 Core GPU",256 GB SSD,280 €,285 €,iMac,24 pulgadas,2021,M1 8 Core CPU 8 Core GPU
"iMac (24 pulgadas, M1, 2021) A2438 M1 8 Core CPU 8 Core GPU",512 GB SSD,320 €,325 €,iMac,24 pulgadas,2021,M1 8 Core CPU 8 Core GPU
"iMac (24 pulgadas, M1, 2021) A2438 M1 8 Core CPU 8 Core GPU",1 TB SSD,340 €,345 €,iMac,24 pulgadas,2021,M1 8 Core CPU 8 Core GPU
"iMac (24 pulgadas, M1, 2021) A2438 M1 8 Core CPU 8 Core GPU",2 TB SSD,350 €,355 €,iMac,24 pulgadas,2021,M1 8 Core CPU 8 Core GPU
"iMac (24 pulgadas, 2023, dos puertos) A2874 M3 8 Core CPU 8 Core GPU",256 GB SSD,325 €,330 €,iMac,24 pulgadas,2023,M3 8 Core CPU 8 Core GPU
"iMac (24 pulgadas, 2023, dos puertos) A2874 M3 8 Core CPU 8 Core GPU",512 GB SSD,355 €,360 €,iMac,24 pulgadas,2023,M3 8 Core CPU 8 Core GPU
"iMac (24 pulgadas, 2023, dos puertos) A2874 M3 8 Core CPU 8 Core GPU",1 TB SSD,380 €,385 €,iMac,24 pulgadas,2023,M3 8 Core CPU 8 Core GPU
"iMac (24 pulgadas, 2023, cuatro puertos) A2873 8 Core CPU 10 Core GPU",256 GB SSD,370 €,375 €,iMac,24 pulgadas,2023,M3 8 Core CPU 10 Core GPU
"iMac (24 pulgadas, 2023, cuatro puertos) A2873 8 Core CPU 10 Core GPU",512 GB SSD,385 €,390 €,iMac,24 pulgadas,2023,M3 8 Core CPU 10 Core GPU
"iMac (24 pulgadas, 2023, cuatro puertos) A2873 8 Core CPU 10 Core GPU",1 TB SSD,410 €,415 €,iMac,24 pulgadas,2023,M3 8 Core CPU 10 Core GPU
"iMac (24 pulgadas, 2023, cuatro puertos) A2873 8 Core CPU 10 Core GPU",2 TB SSD,420 €,425 €,iMac,24 pulgadas,2023,M3 8 Core CPU 10 Core GPU
"iMac (Retina 5K, 27 pulgadas, 2017) A1419 Core i5 3.4",1 TB Fusion Drive,150 €,155 €,iMac,27 pulgadas,2017,Core i5 3.4
"iMac (Retina 5K, 27 pulgadas, 2017) A1419 Core i5 3.4",2 TB Fusion Drive,175 €,180 €,iMac,27 pulgadas,2017,Core i5 3.4
"iMac (Retina 5K, 27 pulgadas, 2017) A1419 Core i5 3.4",256 GB SSD,175 €,180 €,iMac,27 pulgadas,2017,Core i5 3.4
"iMac (Retina 5K, 27 pulgadas, 2017) A1419 Core i5 3.4",512 GB SSD,175 €,180 €,iMac,27 pulgadas,2017,Core i5 3.4
"iMac (Retina 5K, 27 pulgadas, 2017) A1419 Core i5 3.4",1 TB SSD,175 €,180 €,iMac,27 pulgadas,2017,Core i5 3.4
"iMac (Retina 5K, 27 pulgadas, 2017) A1419 Core i5 3.5",1 TB Fusion Drive,180 €,185 €,iMac,27 pulgadas,2017,Core i5 3.5
"iMac (Retina 5K, 27 pulgadas, 2017) A1419 Core i5 3.5",2 TB Fusion Drive,180 €,185 €,iMac,27 pulgadas,2017,Core i5 3.5
"iMac (Retina 5K, 27 pulgadas, 2017) A1419 Core i5 3.5",3 TB Fusion Drive,180 €,185 €,iMac,27 pulgadas,2017,Core i5 3.5
"iMac (Retina 5K, 27 pulgadas, 2017) A1419 Core i5 3.5",256 GB SSD,180 €,185 €,iMac,27 pulgadas,2017,Core i5 3.5
"iMac (Retina 5K, 27 pulgadas, 2017) A1419 Core i5 3.5",512 GB SSD,180 €,185 €,iMac,27 pulgadas,2017,Core i5 3.5
"iMac (Retina 5K, 27 pulgadas, 2017) A1419 Core i5 3.5",1 TB SSD,180 €,185 €,iMac,27 pulgadas,2017,Core i5 3.5
"iMac (Retina 5K, 27 pulgadas, 2017) A1419 Core i5 3.8",2 TB Fusion Drive,185 €,190 €,iMac,27 pulgadas,2017,Core i5 3.8
"iMac (Retina 5K, 27 pulgadas, 2017) A1419 Core i5 3.8",3TB Fusion Drive,185 €,190 €,iMac,27 pulgadas,2017,Core i5 3.8
"iMac (Retina 5K, 27 pulgadas, 2017) A1419 Core i5 3.8",512 GB SSD,185 €,190 €,iMac,27 pulgadas,2017,Core i5 3.8
"iMac (Retina 5K, 27 pulgadas, 2017) A1419 Core i5 3.8",1 TB SSD,185 €,190 €,iMac,27 pulgadas,2017,Core i5 3.8
"iMac (Retina 5K, 27 pulgadas, 2017) A1419 Core i5 3.8",2 TB SSD,185 €,190 €,iMac,27 pulgadas,2017,Core i5 3.8
"iMac (Retina 5K, 27 pulgadas, 2017) A1419 Core i7 4.2",1 TB Fusion Drive,185 €,190 €,iMac,27 pulgadas,2017,Core i7 4.2
"iMac (Retina 5K, 27 pulgadas, 2017) A1419 Core i7 4.2",2 TB Fusion Drive,185 €,190 €,iMac,27 pulgadas,2017,Core i7 4.2
"iMac (Retina 5K, 27 pulgadas, 2017) A1419 Core i7 4.2",3 TB Fusion Drive,185 €,190 €,iMac,27 pulgadas,2017,Core i7 4.2
"iMac (Retina 5K, 27 pulgadas, 2017) A1419 Core i7 4.2",256 GB SSD,185 €,190 €,iMac,27 pulgadas,2017,Core i7 4.2
"iMac (Retina 5K, 27 pulgadas, 2017) A1419 Core i7 4.2",512 GB SSD,185 €,190 €,iMac,27 pulgadas,2017,Core i7 4.2
"iMac (Retina 5K, 27 pulgadas, 2017) A1419 Core i7 4.2",1 TB SSD,185 €,190 €,iMac,27 pulgadas,2017,Core i7 4.2
"iMac (Retina 5K, 27 pulgadas, 2017) A1419 Core i7 4.2",2 TB SSD,185 €,190 €,iMac,27 pulgadas,2017,Core i7 4.2
"iMac (Retina 5K, 27 pulgadas, 2019) A2115 Core i5 3.0",1 TB Fusion Drive,220 €,225 €,iMac,27 pulgadas,2019,Core i5 3.0
"iMac (Retina 5K, 27 pulgadas, 2019) A2115 Core i5 3.0",2 TB Fusion Drive,235 €,240 €,iMac,27 pulgadas,2019,Core i5 3.0
"iMac (Retina 5K, 27 pulgadas, 2019) A2115 Core i5 3.0",256 GB SSD,230 €,235 €,iMac,27 pulgadas,2019,Core i5 3.0
"iMac (Retina 5K, 27 pulgadas, 2019) A2115 Core i5 3.0",512 GB SSD,235 €,240 €,iMac,27 pulgadas,2019,Core i5 3.0
"iMac (Retina 5K, 27 pulgadas, 2019) A2115 Core i5 3.0",1 TB SSD,235 €,240 €,iMac,27 pulgadas,2019,Core i5 3.0
"iMac (Retina 5K, 27 pulgadas, 2019) A2115 Core i5 3.1",1 TB Fusion Drive,240 €,245 €,iMac,27 pulgadas,2019,Core i5 3.1
"iMac (Retina 5K, 27 pulgadas, 2019) A2115 Core i5 3.1",2 TB Fusion Drive,240 €,245 €,iMac,27 pulgadas,2019,Core i5 3.1
"iMac (Retina 5K, 27 pulgadas, 2019) A2115 Core i5 3.1",3 TB Fusion Drive,240 €,245 €,iMac,27 pulgadas,2019,Core i5 3.1
"iMac (Retina 5K, 27 pulgadas, 2019) A2115 Core i5 3.1",256 GB SSD,230 €,235 €,iMac,27 pulgadas,2019,Core i5 3.1
"iMac (Retina 5K, 27 pulgadas, 2019) A2115 Core i5 3.1",512 GB SSD,240 €,245 €,iMac,27 pulgadas,2019,Core i5 3.1
"iMac (Retina 5K, 27 pulgadas, 2019) A2115 Core i5 3.1",1 TB SSD,240 €,245 €,iMac,27 pulgadas,2019,Core i5 3.1
"iMac (Retina 5K, 27 pulgadas, 2019) A2115 Core i5 3.7",2 TB Fusion Drive,360 €,365 €,iMac,27 pulgadas,2019,Core i5 3.7
"iMac (Retina 5K, 27 pulgadas, 2019) A2115 Core i5 3.7",3 TB Fusion Drive,360 €,365 €,iMac,27 pulgadas,2019,Core i5 3.7
"iMac (Retina 5K, 27 pulgadas, 2019) A2115 Core i5 3.7",512 GB SSD,360 €,365 €,iMac,27 pulgadas,2019,Core i5 3.7
"iMac (Retina 5K, 27 pulgadas, 2019) A2115 Core i5 3.7",1 TB SSD,360 €,365 €,iMac,27 pulgadas,2019,Core i5 3.7
"iMac (Retina 5K, 27 pulgadas, 2019) A2115 Core i5 3.7",2 TB SSD,360 €,365 €,iMac,27 pulgadas,2019,Core i5 3.7
"iMac (Retina 5K, 27 pulgadas, 2019) A2115 Core i9 3.6",1 TB Fusion Drive,370 €,375 €,iMac,27 pulgadas,2019,Core i9 3.6
"iMac (Retina 5K, 27 pulgadas, 2019) A2115 Core i9 3.6",2 TB Fusion Drive,390 €,395 €,iMac,27 pulgadas,2019,Core i9 3.6
"iMac (Retina 5K, 27 pulgadas, 2019) A2115 Core i9 3.6",3 TB Fusion Drive,390 €,395 €,iMac,27 pulgadas,2019,Core i9 3.6
"iMac (Retina 5K, 27 pulgadas, 2019) A2115 Core i9 3.6",256 GB SSD,345 €,350 €,iMac,27 pulgadas,2019,Core i9 3.6
"iMac (Retina 5K, 27 pulgadas, 2019) A2115 Core i9 3.6",512 GB SSD,390 €,395 €,iMac,27 pulgadas,2019,Core i9 3.6
"iMac (Retina 5K, 27 pulgadas, 2019) A2115 Core i9 3.6",1 TB SSD,390 €,395 €,iMac,27 pulgadas,2019,Core i9 3.6
"iMac (Retina 5K, 27 pulgadas, 2019) A2115 Core i9 3.6",2 TB SSD,390 €,395 €,iMac,27 pulgadas,2019,Core i9 3.6
"iMac (Retina, 5K, 27 pulgadas, 2020) A2115 Core i5 3.1",256 GB SSD,255 €,260 €,iMac,27 pulgadas,2020,Core i5 3.1
"iMac (Retina, 5K, 27 pulgadas, 2020) A2115 Core i5 3.3",512 GB SSD,290 €,295 €,iMac,27 pulgadas,2020,Core i5 3.3
"iMac (Retina, 5K, 27 pulgadas, 2020) A2115 Core i5 3.3",1 TB SSD,310 €,315 €,iMac,27 pulgadas,2020,Core i5 3.3
"iMac (Retina, 5K, 27 pulgadas, 2020) A2115 Core i5 3.3",2 TB SSD,320 €,325 €,iMac,27 pulgadas,2020,Core i5 3.3
"iMac (Retina, 5K, 27 pulgadas, 2020) A2115 Core i7 3.8",512 GB SSD,400 €,405 €,iMac,27 pulgadas,2020,Core i7 3.8
"iMac (Retina, 5K, 27 pulgadas, 2020) A2115 Core i7 3.8",1 TB SSD,420 €,425 €,iMac,27 pulgadas,2020,Core i7 3.8
"iMac (Retina, 5K, 27 pulgadas, 2020) A2115 Core i7 3.8",2 TB SSD,430 €,435 €,iMac,27 pulgadas,2020,Core i7 3.8
"iMac (Retina, 5K, 27 pulgadas, 2020) A2115 Core i7 3.8",4 TB SSD,430 €,435 €,iMac,27 pulgadas,2020,Core i7 3.8
"iMac (Retina, 5K, 27 pulgadas, 2020) A2115 Core i7 3.8",8 TB SSD,430 €,435 €,iMac,27 pulgadas,2020,Core i7 3.8
"iMac (Retina, 5K, 27 pulgadas, 2020) A2115 Core i9 3.6",512 GB SSD,410 €,415 €,iMac,27 pulgadas,2020,Core i9 3.6
"iMac (Retina, 5K, 27 pulgadas, 2020) A2115 Core i9 3.6",1 TB SSD,415 €,420 €,iMac,27 pulgadas,2020,Core i9 3.6
"iMac (Retina, 5K, 27 pulgadas, 2020) A2115 Core i9 3.6",2 TB SSD,420 €,425 €,iMac,27 pulgadas,2020,Core i9 3.6
"iMac (Retina, 5K, 27 pulgadas, 2020) A2115 Core i9 3.6",4 TB SSD,420 €,425 €,iMac,27 pulgadas,2020,Core i9 3.6
"iMac (Retina, 5K, 27 pulgadas, 2020) A2115 Core i9 3.6",8 TB SSD,420 €,425 €,iMac,27 pulgadas,2020,Core i9 3.6
iMac Pro (2017) A1862 Intel Xeon W 8 Core 3.2,1 TB SSD,230 €,235 €,iMac,27 pulgadas,2017,Intel Xeon W 8 Core 3.2
iMac Pro (2017) A1862 Intel Xeon W 8 Core 3.2,2 TB SSD,250 €,255 €,iMac,27 pulgadas,2017,Intel Xeon W 8 Core 3.2
iMac Pro (2017) A1862 Intel Xeon W 8 Core 3.2,4 TB SSD,270 €,275 €,iMac,27 pulgadas,2017,Intel Xeon W 8 Core 3.2
iMac Pro (2017) A1862 Intel Xeon W 10 Core 3.0,1 TB SSD,460 €,465 €,iMac,27 pulgadas,2017,Intel Xeon W 10 Core 3.0
iMac Pro (2017) A1862 Intel Xeon W 10 Core 3.0,2 TB SSD,460 €,465 €,iMac,27 pulgadas,2017,Intel Xeon W 10 Core 3.0
iMac Pro (2017) A1862 Intel Xeon W 10 Core 3.0,4 TB SSD,545 €,550 €,iMac,27 pulgadas,2017,Intel Xeon W 10 Core 3.0
iMac Pro (2017) A1862 Intel Xeon W 14 Core 2.5,1 TB SSD,435 €,440 €,iMac,27 pulgadas,2017,Intel Xeon W 14 Core 2.5
iMac Pro (2017) A1862 Intel Xeon W 14 Core 2.5,2 TB SSD,435 €,440 €,iMac,27 pulgadas,2017,Intel Xeon W 14 Core 2.5
iMac Pro (2017) A1862 Intel Xeon W 14 Core 2.5,4 TB SSD,545 €,550 €,iMac,27 pulgadas,2017,Intel Xeon W 14 Core 2.5
iMac Pro (2017) A1862 Intel Xeon W 18 Core 2.3,1 TB SSD,365 €,370 €,iMac,27 pulgadas,2017,Intel Xeon W 18 Core 2.3
iMac Pro (2017) A1862 Intel Xeon W 18 Core 2.3,2 TB SSD,365 €,370 €,iMac,27 pulgadas,2017,Intel Xeon W 18 Core 2.3
iMac Pro (2017) A1862 Intel Xeon W 18 Core 2.3,4 TB SSD,400 €,405 €,iMac,27 pulgadas,2017,Intel Xeon W 18 Core 2.3
Mac mini (2018) A1993 Core i3 3.6,128 GB SSD,60 €,65 €,Mac mini,,2018,Core i3 3.6
Mac mini (2018) A1993 Core i3 3.6,256 GB SSD,65 €,70 €,Mac mini,,2018,Core i3 3.6
Mac mini (2018) A1993 Core i3 3.6,512 GB SSD,75 €,80 €,Mac mini,,2018,Core i3 3.6
Mac mini (2018) A1993 Core i3 3.6,1 TB SSD,80 €,85 €,Mac mini,,2018,Core i3 3.6
Mac mini (2018) A1993 Core i3 3.6,2 TB SSD,85 €,90 €,Mac mini,,2018,Core i3 3.6
Mac mini (2018) A1993 Core i5 3.0,128 GB SSD,65 €,70 €,Mac mini,,2018,Core i5 3.0
Mac mini (2018) A1993 Core i5 3.0,256 GB SSD,90 €,95 €,Mac mini,,2018,Core i5 3.0
Mac mini (2018) A1993 Core i5 3.0,512 GB SSD,100 €,105 €,Mac mini,,2018,Core i5 3.0
Mac mini (2018) A1993 Core i5 3.0,1 TB SSD,110 €,115 €,Mac mini,,2018,Core i5 3.0
Mac mini (2018) A1993 Core i5 3.0,2 TB SSD,115 €,120 €,Mac mini,,2018,Core i5 3.0
Mac mini (2018) A1993 Core i7 3.2,128 GB SSD,65 €,70 €,Mac mini,,2018,Core i7 3.2
Mac mini (2018) A1993 Core i7 3.2,256 GB SSD,100 €,105 €,Mac mini,,2018,Core i7 3.2
Mac mini (2018) A1993 Core i7 3.2,512 GB SSD,115 €,120 €,Mac mini,,2018,Core i7 3.2
Mac mini (2018) A1993 Core i7 3.2,1 TB SSD,120 €,125 €,Mac mini,,2018,Core i7 3.2
Mac mini (2018) A1993 Core i7 3.2,2 TB SSD,120 €,125 €,Mac mini,,2018,Core i7 3.2
Mac mini (2020) A1993 Core i3 3.6,256 GB SSD,65 €,70 €,Mac mini,,2020,Core i3 3.6
Mac mini (2020) A1993 Core i3 3.6,512 GB SSD,75 €,80 €,Mac mini,,2020,Core i3 3.6
Mac mini (2020) A1993 Core i3 3.6,1 TB SSD,80 €,85 €,Mac mini,,2020,Core i3 3.6
Mac mini (2020) A1993 Core i3 3.6,2 TB SSD,95 €,100 €,Mac mini,,2020,Core i3 3.6
Mac mini (2020) A1993 Core i5 3.0,512 GB SSD,105 €,110 €,Mac mini,,2020,Core i5 3.0
Mac mini (2020) A1993 Core i5 3.0,1 TB SSD,110 €,115 €,Mac mini,,2020,Core i5 3.0
Mac mini (2020) A1993 Core i5 3.0,2 TB SSD,115 €,120 €,Mac mini,,2020,Core i5 3.0
Mac mini (2020) A1993 Core i7 3.2,256 GB SSD,100 €,105 €,Mac mini,,2020,Core i7 3.2
Mac mini (2020) A1993 Core i7 3.2,512 GB SSD,115 €,120 €,Mac mini,,2020,Core i7 3.2
Mac mini (2020) A1993 Core i7 3.2,1 TB SSD,120 €,125 €,Mac mini,,2020,Core i7 3.2
Mac mini (2020) A1993 Core i7 3.2,2 TB SSD,120 €,125 €,Mac mini,,2020,Core i7 3.2
"Mac mini (M1, 2020) A2348 M1 8 Core CPU 8 Core GPU",256 GB SSD,100 €,105 €,Mac mini,,2020,M1 8 Core CPU 8 Core GPU
"Mac mini (M1, 2020) A2348 M1 8 Core CPU 8 Core GPU",512 GB SSD,115 €,120 €,Mac mini,,2020,M1 8 Core CPU 8 Core GPU
"Mac mini (M1, 2020) A2348 M1 8 Core CPU 8 Core GPU",1 TB SSD,120 €,125 €,Mac mini,,2020,M1 8 Core CPU 8 Core GPU
"Mac mini (M1, 2020) A2348 M1 8 Core CPU 8 Core GPU",2 TB SSD,125 €,130 €,Mac mini,,2020,M1 8 Core CPU 8 Core GPU
Mac mini (2023) A2686 M2 8 Core CPU 10 Core GPU,256 GB SSD,110 €,115 €,Mac mini,,2023,M2 8 Core CPU 10 Core GPU
Mac mini (2023) A2686 M2 8 Core CPU 10 Core GPU,512 GB SSD,170 €,175 €,Mac mini,,2023,M2 8 Core CPU 10 Core GPU
Mac mini (2023) A2686 M2 8 Core CPU 10 Core GPU,1 TB SSD,225 €,230 €,Mac mini,,2023,M2 8 Core CPU 10 Core GPU
Mac mini (2023) A2686 M2 8 Core CPU 10 Core GPU,2 TB SSD,275 €,280 €,Mac mini,,2023,M2 8 Core CPU 10 Core GPU
Mac mini (2023) A2686 M2 Pro 10 Core CPU 16 Core GPU,512 GB SSD,260 €,265 €,Mac mini,,2023,M2 Pro 10 Core CPU 16 Core GPU
