Modelo	Almacenamiento	PrecioB2B	PrecioB2C	Tipo	Pantalla	Año	Procesador
iPhone 14	256GB	305		iPhone			
iPhone 14	512GB	350		iPhone			
iPhone 13 Pro Max	128GB	300		iPhone			
iPhone 13 Pro Max	1TB	350		iPhone			
iPhone 13 Pro Max	256GB	315		iPhone			
iPhone 13 Pro Max	512GB	335		iPhone			
iPhone 13 Pro	128GB	250		iPhone			
iPhone 13 Pro	1TB	305		iPhone			
iPhone 13 Pro	256GB	265		iPhone			
iPhone 13 Pro	512GB	290		iPhone			
iPhone 13 Mini	128GB	160		iPhone			
iPhone 13 Mini	256GB	190		iPhone			
iPhone 13 Mini	512GB	205		iPhone			
iPhone 13	128GB	210		iPhone			
iPhone 13	256GB	240		iPhone			
iPhone 13	512GB	260		iPhone			
iPhone 12 Pro Max	128GB	225		iPhone			
iPhone 12 Pro Max	256GB	240		iPhone			
iPhone 12 Pro Max	512GB	260		iPhone			
